date,country,campaign_id,checkout_value,checkout_value_micro,checkouts,clicks,conversions,impressions,spend,spend_micro,date_range_start,date_range_end,CAMPAIGN_NAME,campaign_name,IMPRESSION_1
2025-09-03,US,626755902381,1090.0,1090000000.0,1.0,44.0,857.0,,118.678555,118678555.0,2025-09-03,2025-12-01,,TNT_CVR_Retargeting_Catalog,6922.0
2025-09-03,US,626755902620,,,,82.0,207.0,,51.022034,51022034.0,2025-09-03,2025-12-01,,TNT_AWR_Prospecting_Traffic,9842.0
2025-09-03,US,626755902689,890.0,890000000.0,1.0,106.0,504.0,,258.453689,258453689.0,2025-09-03,2025-12-01,,TNT_CVR_Prospecting_Catalog,17365.0
2025-09-04,US,626755902381,1980.0,1980000000.0,2.0,45.0,651.0,,96.296127,96296127.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,5935.0
2025-09-04,US,626755902620,,,,38.0,82.0,,20.089779,20089779.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,5246.0
2025-09-04,US,626755902689,,,,21.0,170.0,,28.973609,28973609.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3619.0
2025-09-05,US,626755902381,2800.0,2800000000.0,2.0,40.0,716.0,,98.974771,98974771.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,5576.0
2025-09-05,US,626755902620,,,,41.0,184.0,,18.945121,18945121.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,3996.0
2025-09-05,US,626755902689,,,,17.0,137.0,,29.12088,29120880.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3334.0
2025-09-06,US,626755902381,,,,47.0,727.0,,101.842723,101842723.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,6622.0
2025-09-06,US,626755902620,,,,40.0,108.0,,18.482647,18482647.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,5380.0
2025-09-06,US,626755902689,,,,26.0,299.0,,30.326553,30326553.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3573.0
